date,ret_cs2_alle,n_cs2_alle,ret_cs2_seasoned,n_cs2_seasoned,ret_cs2_liq_seasoned,n_cs2_liq_seasoned,volumen_cs2,idx_cs2_alle,idx_cs2_seasoned,idx_cs2_liq_seasoned
2013-05-01,,1,,0,,0,1299,,,
2013-06-01,,1,,0,,0,6586,,,
2013-07-01,,1,,0,,0,9875,,,
2013-08-01,,1,,0,,0,844705,,,
2013-09-01,-0.322644,395,,0,,0,1915096,67.735572,,
2013-10-01,-0.347712,545,,1,,1,2315514,44.183108,,
2013-11-01,-0.295732,521,,1,,1,2538265,31.116753,,
2013-12-01,-0.325584,985,,1,,1,4012678,20.985648,,
2014-01-01,-0.191314,1063,,1,,1,5968234,16.970799,,
2014-02-01,-0.087036,1011,0.098460,309,0.013382,173,6457506,15.493729,109.846033,101.338209
2014-03-01,-0.033866,1151,0.157843,449,0.160803,232,8021917,14.969017,127.184409,117.633677
2014-04-01,0.161149,1143,0.355774,466,0.345933,241,8997042,17.381267,172.433284,158.327063
2014-05-01,-0.120525,1175,-0.076099,778,-0.101617,491,12170666,15.286397,159.311210,142.238378
2014-06-01,-0.141992,1347,-0.104819,948,-0.135568,617,11627760,13.115846,142.612423,122.955440
2014-07-01,0.029523,1344,0.089139,916,0.105495,582,16278619,13.503060,155.324766,135.926572
2014-08-01,0.064253,1790,0.176960,1149,0.154470,785,21508602,14.370673,182.811027,156.923200
2014-09-01,0.008505,1938,0.090255,1228,0.074528,860,20574860,14.492897,199.310605,168.618368
2014-10-01,-0.007007,1911,0.020485,1230,0.006353,862,20612067,14.391340,203.393420,169.689604
2014-11-01,-0.150833,1920,-0.162168,1404,-0.180777,995,21653090,12.220657,170.409523,139.013548
2014-12-01,0.015930,2009,0.026800,1409,0.033617,984,28008487,12.415333,174.976495,143.686724
2015-01-01,0.138314,2018,0.146104,1766,0.154584,1262,39648434,14.132544,200.541329,165.898405
2015-02-01,-0.015405,2291,0.019469,1988,0.002814,1463,35883032,13.914829,204.445594,166.365197
2015-03-01,0.000651,2291,0.021623,1987,0.014253,1457,39115628,13.923881,208.866303,168.736351
2015-04-01,0.243833,2260,0.248534,1988,0.255362,1456,45123481,17.318981,260.776613,211.825154
2015-05-01,-0.020867,2526,0.014290,2238,0.004711,1671,48693656,16.957593,264.503088,212.823147
2015-06-01,-0.126761,2879,-0.095909,2232,-0.124128,1666,47626660,14.808025,239.134873,186.405908
2015-07-01,0.102214,2797,0.166570,2297,0.168063,1711,45036645,16.321605,278.967551,217.733819
2015-08-01,-0.048314,2816,-0.021416,2361,-0.036443,1767,46205365,15.533048,272.993073,209.798913
2015-09-01,0.107069,2868,0.139785,2366,0.134926,1773,53125091,17.196158,311.153382,238.106143
2015-10-01,0.000849,3082,0.025473,2485,0.013255,1896,54302483,17.210765,319.079310,241.262149
2015-11-01,-0.026825,3123,0.004200,2806,-0.018756,2149,50099030,16.749083,320.419481,236.736995
2015-12-01,0.069996,3110,0.077090,2808,0.087778,2144,55212196,17.921460,345.120632,257.517196
2016-01-01,0.006179,3303,0.021291,2828,0.022000,2164,47790605,18.032203,352.468719,263.182641
2016-02-01,-0.036442,3285,-0.028631,2883,-0.041834,2206,45076029,17.375068,342.377340,252.172638
