date,usd_eur
2026-06-03,0.861030
2026-06-04,0.859110
2026-06-05,0.859110
2026-06-08,0.866550
2026-06-09,0.864080
2026-06-10,0.866630
2026-06-11,0.866780
2026-06-12,0.864530
2026-06-15,0.861550
2026-06-16,0.862520
2026-06-17,0.862740
2026-06-18,0.872520
2026-06-19,0.872070
2026-06-22,0.872910
2026-06-23,0.877810
2026-06-24,0.881830
2026-06-25,0.881680
2026-06-26,0.877120
2026-06-29,0.876730
2026-06-30,0.877650
2026-07-01,0.878500
2026-07-02,0.877270
2026-07-03,0.873520
2026-07-06,0.876040
2026-07-07,0.874660
2026-07-08,0.876890
2026-07-09,0.874510
2026-07-10,0.874890
2026-07-13,0.875350
2026-07-14,0.876810
2026-07-15,0.876730
2026-07-16,0.872070
2026-07-17,0.874510
2026-07-20,0.875200
2026-07-21,0.875810
2026-07-22,0.876580
2026-07-23,0.877810
2026-07-24,0.878970
