Date,SP500,DAX,NASDAQ100,EUROSTOXX50,MSCIWORLD,GOLD,SILVER,BITCOIN
2013-01-03,1459.37,10224.6768,2732.26,3560.7961,45.2578,1673.7,30.671,13.42
2013-01-04,1466.47,10134.719,2724.49,3531.0179,44.6994,1648.1,29.896,13.47
2013-01-07,1461.89,10104.6182,2724.22,3522.4107,44.4398,1645.5,30.032,13.53
2013-01-08,1457.15,10100.8403,2718.72,3532.5502,44.3376,1661.5,30.415,13.61
2013-01-09,1461.02,10100.1713,2727.6499,3540.5877,44.3376,1654.8,30.201,13.84
2013-01-10,1472.12,10063.2776,2744.1799,3535.6007,45.0061,1677.3,30.875,13.99
2013-01-11,1472.05,10240.9474,2748.26,3607.3667,45.2421,1660.0,30.367,14.32
2013-01-14,1470.6801,10328.1975,2735.7,3628.0012,45.2421,1668.9,31.08,14.31
2013-01-15,1472.34,10268.7761,2722.98,3614.1673,45.25,1683.4,31.498,14.34
2013-01-16,1472.63,10235.7329,2734.73,3596.6728,45.25,1682.7,31.514,14.53
2013-01-17,1480.9399,10281.0478,2747.1499,3613.6763,45.25,1690.4,31.786,14.86
2013-01-18,1485.98,10299.8529,2743.24,3623.4155,45.3129,1686.6,31.902,15.53
2013-01-21,1485.98,10321.4916,2743.24,3631.8746,45.3129,1686.6,31.902,16.15
2013-01-22,1492.5601,10244.8121,2746.1899,3616.3359,45.3129,1692.8,32.147,17.13
2013-01-23,1494.8101,10261.8062,2762.1699,3605.7996,46.304,1686.3,32.409,17.59
2013-01-24,1494.8199,10311.5913,2723.53,3623.8487,46.304,1669.5,31.695,17.97
2013-01-25,1502.96,10505.5883,2736.73,3668.7877,45.95,1656.4,31.18,19.1
2013-01-28,1500.1801,10547.9322,2742.4299,3695.7488,46.1624,1652.4,30.756,18.11
2013-01-29,1507.84,10553.4084,2743.5801,3696.746,46.2725,1660.7,31.159,18.77
2013-01-30,1501.96,10538.7347,2738.71,3686.0768,46.2725,1679.9,32.152,19.78
2013-01-31,1498.11,10550.8064,2731.53,3667.4943,46.2096,1660.6,31.335,20.11
2013-02-01,1513.17,10662.0251,2763.96,3688.6892,46.768,1669.4,31.942,21.4
2013-02-04,1495.71,10425.1979,2715.6799,3583.018,46.4062,1675.3,31.7,20.77
2013-02-05,1511.29,10356.2493,2754.99,3582.2321,47.3343,1672.4,31.859,20.99
2013-02-06,1512.12,10296.3193,2746.3501,3554.7331,46.6894,1677.7,31.861,20.92
